run_id,model,family,params_b,setting,task,prompt_tier,metric_name,metric_value,n_examples,seed
20260702_094136_falcon_h1_05b_E1-INT8_truthfulqa_mc1_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E1-INT8,truthfulqa_mc1,P2,acc,31.0,200,42
20260702_121427_falcon_h1_05b_E1-INT8_truthfulqa_mc1_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E1-INT8,truthfulqa_mc1,P3,acc,28.0,200,42
20260701_052425_falcon_h1_05b_E2-Q8_halueval_general_dev,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,halueval_general,P0,acc,20.0,200,42
20260701_052429_falcon_h1_05b_E2-Q8_halueval_qa_dev,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,halueval_qa,P0,acc,45.0,200,42
20260701_052425_falcon_h1_05b_E2-Q8_nq_open_dev,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P0,em,1.1213,200,42
20260701_213648_falcon_h1_05b_E2-Q8_nq_open_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P1,em,1.6895,200,42
20260701_224651_falcon_h1_05b_E2-Q8_nq_open_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P2,em,1.6375,200,42
20260702_035320_falcon_h1_05b_E2-Q8_nq_open_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,nq_open,P3,em,1.3964,200,42
20260701_052422_falcon_h1_05b_E2-Q8_squad_v2_dev,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,squad_v2,P0,em,37.1242,200,42
20260701_213649_falcon_h1_05b_E2-Q8_squad_v2_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,squad_v2,P1,em,27.1803,200,42
20260702_004126_falcon_h1_05b_E2-Q8_squad_v2_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,squad_v2,P2,em,2.5246,200,42
20260702_035320_falcon_h1_05b_E2-Q8_squad_v2_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,squad_v2,P3,em,2.0061,200,42
20260701_052425_falcon_h1_05b_E2-Q8_truthfulqa_mc1_dev,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,truthfulqa_mc1,P0,acc,43.0,200,42
20260701_213648_falcon_h1_05b_E2-Q8_truthfulqa_mc1_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,truthfulqa_mc1,P1,acc,21.5,200,42
20260702_005526_falcon_h1_05b_E2-Q8_truthfulqa_mc1_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,truthfulqa_mc1,P2,acc,43.5,200,42
20260702_035357_falcon_h1_05b_E2-Q8_truthfulqa_mc1_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E2-Q8,truthfulqa_mc1,P3,acc,22.5,200,42
20260701_052429_falcon_h1_05b_E3-Q5_halueval_general_dev,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,halueval_general,P0,acc,23.0,200,42
20260701_052422_falcon_h1_05b_E3-Q5_halueval_qa_dev,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,halueval_qa,P0,acc,51.0,200,42
20260701_052429_falcon_h1_05b_E3-Q5_nq_open_dev,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,nq_open,P0,em,1.2947,200,42
20260701_213856_falcon_h1_05b_E3-Q5_nq_open_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,nq_open,P1,em,1.6948,200,42
20260701_224744_falcon_h1_05b_E3-Q5_nq_open_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,nq_open,P2,em,0.8916,200,42
20260702_055406_falcon_h1_05b_E3-Q5_nq_open_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,nq_open,P3,em,1.3135,200,42
20260701_052425_falcon_h1_05b_E3-Q5_squad_v2_dev,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,squad_v2,P0,em,43.8868,200,42
20260701_213856_falcon_h1_05b_E3-Q5_squad_v2_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,squad_v2,P1,em,25.5059,200,42
20260702_023300_falcon_h1_05b_E3-Q5_squad_v2_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,squad_v2,P2,em,3.0134,200,42
20260702_055353_falcon_h1_05b_E3-Q5_squad_v2_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,squad_v2,P3,em,1.9659,200,42
20260701_052422_falcon_h1_05b_E3-Q5_truthfulqa_mc1_dev,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,truthfulqa_mc1,P0,acc,44.0,200,42
20260701_213856_falcon_h1_05b_E3-Q5_truthfulqa_mc1_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,truthfulqa_mc1,P1,acc,23.0,200,42
20260702_023929_falcon_h1_05b_E3-Q5_truthfulqa_mc1_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,truthfulqa_mc1,P2,acc,41.5,200,42
20260702_055652_falcon_h1_05b_E3-Q5_truthfulqa_mc1_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E3-Q5,truthfulqa_mc1,P3,acc,19.5,200,42
20260701_052432_falcon_h1_05b_E4-Q4_halueval_general_dev,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,halueval_general,P0,acc,23.5,200,42
20260701_052433_falcon_h1_05b_E4-Q4_halueval_qa_dev,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,halueval_qa,P0,acc,49.0,200,42
20260701_052434_falcon_h1_05b_E4-Q4_nq_open_dev,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,nq_open,P0,em,1.5377,200,42
20260701_213856_falcon_h1_05b_E4-Q4_nq_open_dev_P1,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,nq_open,P1,em,1.6322,200,42
20260701_223030_falcon_h1_05b_E4-Q4_nq_open_dev_P2,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,nq_open,P2,em,1.1393,200,42
20260702_060551_falcon_h1_05b_E4-Q4_nq_open_dev_P3,falcon_h1_05b,Falcon-H1,0.5,E4-Q4,nq_open,P3,em,1.277,200,42
