task,run_id,model_key,setting,prompt_tier,dataset,split,num_examples,primary_metric_name,primary_metric,exact_match,f1,prompt_acc,instr_acc,mtbench_score,instruction_level_acc,has_ans_exact_match,has_ans_f1,no_ans_exact_match,no_ans_f1,valid_scores,empty_responses,latency_ms_mean,decode_chars_per_s_mean,judge_model
task_eval,20260630_180923_smollm2_360m_E0-REF_halueval_qa_dev,smollm2_360m,E0-REF,P0,halueval_qa,dev,200,f1,0.525,0.525,0.525,,,,,,,,,,,78.63384100055555,38.650978662550344,
task_eval,20260630_180944_smollm2_360m_E0-REF_halueval_general_dev,smollm2_360m,E0-REF,P0,halueval_general,dev,200,f1,0.305,0.305,0.305,,,,,,,,,,,136.13690650017816,48.18157357777504,
task_eval,20260630_181017_falcon_h1_05b_E0-REF_nq_open_dev,falcon_h1_05b,E0-REF,P0,nq_open,dev,200,f1,0.039393188684915516,0.0,0.039393188684915516,,,,,,,,,,,1893.3544284993695,58.88558114916332,
task_eval,20260630_181641_falcon_h1_05b_E0-REF_truthfulqa_mc1_dev,falcon_h1_05b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.385,0.385,0.385,,,,,,,,,,,931.6017880000436,29.960659608800253,
task_eval,20260630_181953_falcon_h1_05b_E0-REF_halueval_qa_dev,falcon_h1_05b,E0-REF,P0,halueval_qa,dev,200,f1,0.51,0.51,0.51,,,,,,,,,,,4474.464803500887,63.73550095598203,
task_eval,20260630_183453_falcon_h1_05b_E0-REF_halueval_general_dev,falcon_h1_05b,E0-REF,P0,halueval_general,dev,200,f1,0.77,0.77,0.77,,,,,,,,,,,6126.27963999963,57.70722321170946,
task_eval,20260630_185529_qwen25_05b_E0-REF_squad_v2_dev,qwen25_05b,E0-REF,P0,squad_v2,dev,200,f1,0.16438559196206334,0.03,0.16438559196206334,,,,,0.04950495049504951,0.306698783688108,0.010101010101010102,0.019197386261755156,,,1063.3792839995294,149.88412429029543,
task_eval,20260630_185910_qwen25_05b_E0-REF_truthfulqa_mc1_dev,qwen25_05b,E0-REF,P0,truthfulqa_mc1,dev,200,f1,0.245,0.245,0.245,,,,,,,,,,,72.41618149986607,15.089260872433634,
task_eval,20260630_185933_qwen25_05b_E0-REF_halueval_qa_dev,qwen25_05b,E0-REF,P0,halueval_qa,dev,200,f1,0.475,0.475,0.475,,,,,,,,,,,71.98152900105924,29.871584177294235,
task_eval,20260630_185956_qwen25_05b_E0-REF_halueval_general_dev,qwen25_05b,E0-REF,P0,halueval_general,dev,200,f1,0.8,0.8,0.8,,,,,,,,,,,68.19778400073119,31.23991445538466,
task_eval,20260630_210458_falcon_h1_tiny_90m_E0-REF_squad_v2_dev,falcon_h1_tiny_90m,E0-REF,P0,squad_v2,dev,5,f1,0.4,0.4,0.4,,,,,0.3333333333333333,0.3333333333333333,0.5,0.5,,,1003.5739727318287,53.91436530942219,
task_eval,20260630_211853_falcon_h1_tiny_90m_E0-REF_halueval_qa_dev,falcon_h1_tiny_90m,E0-REF,P0,halueval_qa,dev,200,f1,0.475,0.475,0.475,,,,,,,,,,,737.231451254338,33.43306351425982,
task_eval,20260630_211853_falcon_h1_tiny_90m_E0-REF_nq_open_dev,falcon_h1_tiny_90m,E0-REF,P0,nq_open,dev,200,f1,0.021644754987128575,0.0,0.021644754987128575,,,,,,,,,,,2884.7139608033467,91.20095220595633,
task_eval,20260630_211853_falcon_h1_tiny_90m_E0-REF_squad_v2_dev,falcon_h1_tiny_90m,E0-REF,P0,squad_v2,dev,200,f1,0.32882597422591486,0.27,0.32882597422591486,,,,,0.0594059405940594,0.1752929582631378,0.48484848484848486,0.4854606672788491,,,2013.6908718803898,85.31897089670167,
task_eval,20260630_213323_falcon_h1_tiny_90m_E0-REF_halueval_general_dev,falcon_h1_tiny_90m,E0-REF,P0,halueval_general,dev,200,f1,0.785,0.785,0.785,,,,,,,,,,,738.4967454825528,37.82811671445774,
task_eval,20260630_214913_falcon_h1_tiny_90m_E1-INT8_squad_v2_dev,falcon_h1_tiny_90m,E1-INT8,P0,squad_v2,dev,5,f1,0.6,0.6,0.6,,,,,0.3333333333333333,0.3333333333333333,1.0,1.0,,,1448.6098503693938,14.619533225061577,
task_eval,20260630_221314_qwen25_05b_E2-Q8_nq_open_dev,qwen25_05b,E2-Q8,P0,nq_open,dev,200,f1,0.01960210259299207,0.0,0.01960210259299207,,,,,,,,,,,34414.89534260589,12.332614881259245,
task_eval,20260630_221314_smollm2_360m_E2-Q8_nq_open_dev,smollm2_360m,E2-Q8,P0,nq_open,dev,200,f1,0.02928245991287418,0.0,0.02928245991287418,,,,,,,,,,,14853.101330250502,9.862767506955528,
