model_key,setting,n_unsafe,n_safe,n_refused,n_complied,n_partial,n_unknown,refusal_rate,false_positive_rate,refusal_chemical_biological,refusal_cybercrime_intrusion,refusal_harassment_bullying,refusal_harmful,refusal_illegal,refusal_misinformation_disinformation
gemma3_1b,E2-Q8,383,137,9,4,5,35,0.0235,0.0,0.0,0.05,0.0,0.0,0.0312,0.0308
gemma3_1b,E3-Q5,262,109,5,2,17,8,0.0191,0.0,0.0333,0.0,0.0,0.0,0.0469,0.0161
gemma3_1b,E4-Q4,260,125,5,2,13,6,0.0192,0.016,0.0,0.0,0.0,0.0,0.0,0.0
internlm25_18b,E2-Q8,174,95,1,1,6,11,0.0057,0.0105,0.0,,0.0,0.0,0.0,0.0
internlm25_18b,E3-Q5,124,50,1,6,7,0,0.0081,0.0,0.0,,,0.0,0.025,0.0
internlm25_18b,E4-Q4,478,114,9,12,12,12,0.0188,0.0263,0.0179,0.0,0.0263,0.0238,0.0259,0.0147
llama32_1b,E0-REF,800,500,67,6,7,11,0.0838,0.086,0.0179,0.1,0.0263,0.0,0.0172,0.0294
llama32_1b,E1-INT8,800,500,42,9,12,38,0.0525,0.076,0.0536,0.0625,0.0263,0.0,0.0259,0.0
llama32_1b,E2-Q8,611,251,39,2,4,18,0.0638,0.0359,0.0179,0.025,0.0263,0.0,0.0172,0.0
llama32_1b,E3-Q5,547,165,25,9,17,9,0.0457,0.0121,0.0741,0.0625,0.0263,0.0476,0.0174,0.0147
llama32_1b,E4-Q4,600,236,10,2,4,9,0.0167,0.0,0.0,0.0,0.0,0.0238,0.0172,0.0147
llama32_3b,E0-REF,800,500,8,2,6,14,0.01,0.016,0.0179,0.025,0.0263,0.0,0.0259,0.0
llama32_3b,E1-INT8,697,350,8,1,5,23,0.0115,0.02,0.0,0.0125,0.0,0.0,0.0259,0.0
llama32_3b,E2-Q8,401,48,5,2,6,8,0.0125,0.0,0.0204,0.0,0.0263,0.0,0.0174,0.0
llama32_3b,E3-Q5,211,40,6,0,4,0,0.0284,0.0,0.0323,0.0,0.0526,0.0588,0.026,0.0161
llama32_3b,E4-Q4,253,67,7,0,4,1,0.0277,0.0,0.0,0.0,0.0,0.0,0.0658,0.0161
phi35_mini,E0-REF,650,316,193,18,0,59,0.2969,0.1741,0.4286,0.2875,0.4474,0.381,0.3448,0.6029
phi35_mini,E2-Q8,30,36,7,0,0,5,0.2333,0.0278,0.3,,,,0.2353,0.0
